title,category,summary,link
Tim SAR perluas pencarian pewarta ANTARA hilang di Krakatau,Indonesia,"Tim SAR memperluas cakupan area pencarian pada hari kedua operasi penyelamatan delapan penumpang kapal cepat rombongan jurnalis, termasuk pewarta foto ANTARA ...",https://www.antaranews.com/berita/5732595/tim-sar-perluas-pencarian-pewarta-antara-hilang-di-krakatau
KPK kembali periksa mantan Dirut Bank BJB Yuddy Renaldi,Indonesia,Komisi Pemberantasan Korupsi (KPK) kembali memeriksa mantan Direktur Utama PT Bank Pembangunan Daerah Jawa Barat dan Banten (Bank BJB) Yuddy Renaldi dalam ...,https://www.antaranews.com/berita/5732591/kpk-kembali-periksa-mantan-dirut-bank-bjb-yuddy-renaldi
Penutupan penerbangan di Bandara Wunopito NTT berlanjut Kamis,Indonesia,Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia (LPPNPI) atau AirNav Indonesia kembali menerbitkan NOTAM terkait penutupan operasional ...,https://www.antaranews.com/berita/5732537/penutupan-penerbangan-di-bandara-wunopito-ntt-berlanjut-kamis
"Gempa 5,3 magnitudo guncang Tibet",Indonesia,"Gempa bumi berkekuatan 5,3 magnitudo mengguncang Daerah Otonom Tibet di China dekat perbatasan dengan Nepal, kata Pusat Seismologi Eropa-Mediterania pada ...",https://www.antaranews.com/berita/5732523/gempa-53-magnitudo-guncang-tibet
PM Inggris: Penderitaan warga Palestina tidak bisa terus dibiarkan,Indonesia,"Perdana Menteri Inggris Andy Burnham, Selasa (8/9), mengatakan bahwa dia tidak akan tinggal diam sementara &quot;penderitaan mengerikan&quot; yang dialami ...",https://www.antaranews.com/berita/5732400/pm-inggris-penderitaan-warga-palestina-tidak-bisa-terus-dibiarkan
